Pair (Low-High),Intermediaries,Part of Speech,Hint,Gradability Type,Cloze Example
tenue-cegador,débil;opaco;brillante;deslumbrante;resplandeciente,Adjective,Esto aumenta la intensidad de la luz.,Luminosity,La luz era _____ en la habitación oscura.
silencioso-ensordecedor,suave;moderado;ruidoso;estruendoso;atronador,Adjective,Esto amplifica el volumen del sonido.,Volume,El ambiente era _____ durante la noche.
lento-rápido,pausado;moderado;veloz;acelerado;vertiginoso,Adjective,Esto aumenta la velocidad del movimiento.,Velocity,El coche era _____ en la autopista.
débil-poderoso,endeble;flojo;fuerte;robusto;formidable,Adjective,Esto fortalece el nivel de fuerza.,Force,El viento era _____ esa tarde.
triste-devastado,melancólico;apesadumbrado;afligido;desconsolado;destrozado,Adjective,Esto profundiza la intensidad del dolor.,Affective Depth,Se sentía _____ por la noticia.
feliz-eufórico,alegre;contento;gozoso;jubiloso;extasiado,Adjective,Esto eleva el grado de alegría.,Affective Depth,Estaba _____ con el resultado.
seco-árido,húmedo;mojado;empapado;saturado;encharcado,Adjective,Esto reduce la presencia de humedad.,Moisture Level,El desierto es _____ y sin vida.
estrecho-vasto,angosto;delgado;ancho;amplio;expansivo,Adjective,Esto expande la medida de anchura.,Magnitude,El camino era _____ para los coches.
informal-formal,desenfadado;relajado;correcto;elegante;solemne,Adjective,Esto eleva el nivel de decoro.,Formality,La reunión era _____ y seria.
coloquial-erudito,popular;vernáculo;literario;académico;pedante,Adjective,Esto formaliza el registro lingüístico.,Formality,El lenguaje era _____ en el libro.
neutral-apasionado,indiferente;interesado;entusiasta;ferviente;fanático,Adjective,Esto profundiza la implicación emocional.,Affective Depth,Su actitud era _____ hacia el tema.
calmado-furioso,sereno;irritado;enojado;enfurecido;rabioso,Adjective,Esto escala la agitación emocional.,Affective Depth,Se mantuvo _____ durante la discusión.
concreto-abstracto,tangible;específico;general;conceptual;metafísico,Adjective,Esto abstrae el grado de ideación.,Abstraction,El concepto era _____ y difícil.
prosaico-poético,mundano;descriptivo;lírico;metafórico;sublime,Adjective,Esto poetiza el estilo expresivo.,Poetic Complexity,El texto era _____ y hermoso.
familiar-distinguido,amistoso;cortés;respetuoso;augusto;majestuoso,Adjective,Esto formaliza el tono interpersonal.,Formality,El saludo era _____ y cálido.
satisfecho-extasiado,contento;feliz;dichoso;eufórico;arrobado,Adjective,Esto intensifica la emoción positiva.,Affective Depth,Se sentía _____ con su logro.
real-hipotético,actual;posible;teórico;imaginario;filosófico,Adjective,Esto abstrae el estatus de realidad.,Abstraction,El escenario era _____ y no real.
literal-figurativo,directo;simbólico;metafórico;alegórico,Adjective,Esto poetiza la capa interpretativa.,Poetic Complexity,La interpretación era _____ y profunda.
mar en calma-mar embravecido,sereno; tranquilo; agitado; tormentoso,Noun,Describe la intensidad o tranquilidad del océano o de un ambiente marítimo.,Serenity,El mar estaba tan _____ que apenas se movía una ola.
goteo-río,arroyo; riachuelo; corriente; torrente,Noun,Representa el aumento del flujo o volumen del agua en movimiento.,Flow,El arroyo creció hasta convertirse en un _____ caudaloso.
parpadeo-sueño profundo,guiño; mueca; siesta; sueño,Noun,Representa el paso gradual de una breve acción ocular hasta un descanso profundo.,Duration,Pasó de un simple _____ a quedarse completamente dormido.
discreto-llamativo,reservado; moderado; visible; vistoso,Adjective,Indica el grado de expresión o visibilidad con que alguien o algo se presenta.,Expressiveness,Su estilo pasó de ser muy _____ a atraer todas las miradas.
antes de nada-para terminar,a continuación / después / luego;por un lado / otro lado;en primer lugar;por último;en último lugar / otro lado,Connector,Ordenar el discurso: sirve para ordenar las ideas en una secuencia lógica.,Formality,"_____ expliquemos los conceptos básicos antes de pasar a los ejemplos prácticos."
por otra parte-por lo que se refiere a,se refiere a;en cuanto a;con relación a;en relación con;con respecto a,Connector,Introducir un tema: sirve para introducir un tema o cambiar de asunto.,Formality,"Hablemos ahora de la economía; _____, el impacto de la inflación en los mercados."
además-asimismo,por otra parte;igualmente;al mismo tiempo,Connector,Añadir ideas: sirve para añadir ideas adicionales.,Formality,"El plan es bueno; _____, ofrece beneficios a largo plazo."
o sea-conviene subrayar,es decir;en otras palabras;dicho de otra manera;con esto quiero decir;en efecto,Connector,Aclarar o explicar: sirve para aclarar o explicar una idea.,Formality,"No es solo una idea; _____, es un concepto que requiere más explicación."
por ejemplo-en particular,pongamos por caso;en concreto;concretamente,Connector,Ejemplificar: sirve para dar ejemplos que ilustran una idea.,Formality,"Hay muchas frutas deliciosas; _____, las manzanas y las naranjas."
yo creo que-considero que,para mi opinión;personalmente;a mi juicio;a mi entender / parecer;según mi punto de vista,Connector,Introducir una opinión personal: sirve para introducir una opinión personal.,Formality,"_____ , esta película es la mejor del año."
a lo mejor-es posible,quizá(s);tal vez;posiblemente;probablemente,Connector,Indicar hipótesis: sirve para indicar una hipótesis o posibilidad.,Formality,"_____ lloverá mañana, así que lleva un paraguas."
aunque-no obstante,en cambio;al contrario;por el contrario;sin embargo;a pesar de,Connector,Indicar oposición o contraste: sirve para indicar oposición o contraste entre ideas.,Formality,"Me gusta el café; _____, prefiero el té por las mañanas."
como resultado-por consiguiente,por lo cual;de modo / manera que;de ahí que;por tanto;en consecuencia,Connector,Indicar consecuencia: sirve para indicar una consecuencia o resultado.,Formality,"Perdí el autobús; _____, llegué tarde al trabajo."
porque-visto que,como;ya que;a causa de;debido a;puesto / dado que,Connector,Indicar causa: sirve para indicar una causa o razón.,Formality,"No pude asistir a la reunión _____ tenía una cita médica importante."
en pocas palabras-en suma,en resumen;para resumir;en definitiva,Connector,Resumir: sirve para resumir las ideas principales.,Formality,"Hemos discutido varios puntos; _____, el proyecto es viable."
al final-para finalizar,por último;en definitiva;para terminar;en conclusión;para concluir,Connector,Concluir o terminar: sirve para concluir o terminar el discurso.,Formality,"Gracias por su atención; _____, espero sus preguntas."
