Pair (Low-High),Intermediaries,Part of Speech,Hint,Gradability Type,Cloze Example
tenue-cegador,débil;opaco;brillante;deslumbrante;resplandeciente,Adjective,Esto aumenta la intensidad de la luz.,Luminosity,La luz era _____ en la habitación oscura.
silencioso-ensordecedor,suave;moderado;ruidoso;estruendoso;atronador,Adjective,Esto amplifica el volumen del sonido.,Volume,El ambiente era _____ durante la noche.
lento-rápido,pausado;moderado;veloz;acelerado;vertiginoso,Adjective,Esto aumenta la velocidad del movimiento.,Velocity,El coche era _____ en la autopista.
débil-poderoso,endeble;flojo;fuerte;robusto;formidable,Adjective,Esto fortalece el nivel de fuerza.,Force,El viento era _____ esa tarde.
triste-devastado,melancólico;apesadumbrado;afligido;desconsolado;destrozado,Adjective,Esto profundiza la intensidad del dolor.,Affective Depth,Se sentía _____ por la noticia.
feliz-eufórico,alegre;contento;gozoso;jubiloso;extasiado,Adjective,Esto eleva el grado de alegría.,Affective Depth,Estaba _____ con el resultado.
seco-árido,húmedo;mojado;empapado;saturado;encharcado,Adjective,Esto reduce la presencia de humedad.,Moisture Level,El desierto es _____ y sin vida.
estrecho-vasto,angosto;delgado;ancho;amplio;expansivo,Adjective,Esto expande la medida de anchura.,Magnitude,El camino era _____ para los coches.
informal-formal,desenfadado;relajado;correcto;elegante;solemne,Adjective,Esto eleva el nivel de decoro.,Formality,La reunión era _____ y seria.
coloquial-erudito,popular;vernáculo;literario;académico;pedante,Adjective,Esto formaliza el registro lingüístico.,Formality,El lenguaje era _____ en el libro.
neutral-apasionado,indiferente;interesado;entusiasta;ferviente;fanático,Adjective,Esto profundiza la implicación emocional.,Affective Depth,Su actitud era _____ hacia el tema.
calmado-furioso,sereno;irritado;enojado;enfurecido;rabioso,Adjective,Esto escala la agitación emocional.,Affective Depth,Se mantuvo _____ durante la discusión.
concreto-abstracto,tangible;específico;general;conceptual;metafísico,Adjective,Esto abstrae el grado de ideación.,Abstraction,El concepto era _____ y difícil.
prosaico-poético,mundano;descriptivo;lírico;metafórico;sublime,Adjective,Esto poetiza el estilo expresivo.,Poetic Complexity,El texto era _____ y hermoso.
familiar-distinguido,amistoso;cortés;respetuoso;augusto;majestuoso,Adjective,Esto formaliza el tono interpersonal.,Formality,El saludo era _____ y cálido.
satisfecho-extasiado,contento;feliz;dichoso;eufórico;arrobado,Adjective,Esto intensifica la emoción positiva.,Affective Depth,Se sentía _____ con su logro.
real-hipotético,actual;posible;teórico;imaginario;filosófico,Adjective,Esto abstrae el estatus de realidad.,Abstraction,El escenario era _____ y no real.
literal-figurativo,directo;simbólico;metafórico;alegórico,Adjective,Esto poetiza la capa interpretativa.,Poetic Complexity,La interpretación era _____ y profunda.
suavemente-ruidosamente,silenciosamente;moderadamente;audiblemente;estrepitosamente;ensordecedoramente,Adverb,Esto escala el volumen de la ejecución de la acción.,Volume,El viento soplaba _____ durante la tormenta.
lentamente-rápidamente,pausadamente;gradualmente;constantemente;velozmente;vertiginosamente,Adverb,Esto aumenta la velocidad del movimiento.,Velocity,El tiempo pasaba _____ en la espera.
débilmente-poderosamente,endeblemente;levemente;fuertemente;vigorosamente;potentemente,Adverb,Esto fortalece la intensidad del esfuerzo.,Force,El equipo luchaba _____ por la victoria.
tenuemente-brillantemente,débilmente;opacamente;claramente;vívidamente;resplandecientement,Adverb,Esto aumenta el nivel de iluminación.,Luminosity,La estrella brillaba _____ en el cielo.
tristemente-devastadoramente,melancólicamente;lamentablemente;desesperadamente;desconsoladamente;desgarradoramente,Adverb,Esto profundiza la emoción del dolor.,Affective Depth,Miraba _____ al horizonte perdido.
felizmente-eufóricamente,alegremente;gozosamente;jubilosamente;extasiadamente;arrebatadamente,Adverb,Esto eleva la expresión de alegría.,Affective Depth,Celebraban _____ el triunfo obtenido.
estrechamente-vastamente,levemente;parcialmente;ampliamente;extensamente;inmensamente,Adverb,Esto expande el alcance de la extensión.,Magnitude,El conocimiento se extendía _____ en su mente.
secamente-áridamente,húmedamente;mojadamente;empapadamente;saturadamente,Adverb,Esto reduce la manera de humedad.,Moisture Level,La tierra se secaba _____ bajo el sol.
silenciosamente-ensordecedoramente,suavemente;moderadamente;ruidosamente;estruendosamente;atronadoramente,Adverb,Esto amplifica la forma de producción de sonido.,Volume,La multitud aplaudía _____ al final.
débilmente-robustamente,endeblemente;levemente;fuertemente;vigorosamente;poderosamente,Adverb,Esto intensifica la manera de fuerza.,Force,Agarraba _____ la cuerda para subir.
informalmente-formalmente,casualmente;coloquialmente;correctamente;elegantemente;solemnemente,Adverb,Esto eleva la manera de conducta.,Formality,Hablaban _____ en la ceremonia.
coloquialmente-eruditamente,popularmente;vernacularmente;literariamente;académicamente;pedantemente,Adverb,Esto formaliza el enfoque lingüístico.,Formality,Escribía _____ en sus ensayos.
indiferentemente-apasionadamente,neutralmente;interesadamente;entusiastamente;fervientemente;fanáticamente,Adverb,Esto profundiza el compromiso emocional.,Affective Depth,Defendía _____ sus ideas en el debate.
calmadamente-furiosamente,serenamente;irritadamente;enojadamente;enfurecidamente,Adverb,Esto escala la intensidad emocional.,Affective Depth,Respondía _____ a las provocaciones.
concretamente-abstractamente,tangiblemente;específicamente;generalmente;conceptualmente;metafísicamente,Adverb,Esto abstrae el modo de pensar.,Abstraction,Explicaba _____ los conceptos complejos.
prosaicamente-poéticamente,mundanamente;descriptivamente;líricamente;metafóricamente;sublimemente,Adverb,Esto poetiza la manera expresiva.,Poetic Complexity,Describía _____ la belleza del paisaje.
familiarmente-distinguidamente,amistosamente;cortésmente;respetuosamente;augustamente;majestuosamente,Adverb,Esto formaliza el estilo de interacción.,Formality,Saludaba _____ a los invitados.
satisfactoriamente-extasiadamente,contentamente;felizmente;dichosamente;eufóricamente;arrobadamente,Adverb,Esto intensifica la satisfacción emocional.,Affective Depth,Vivía _____ su vida diaria.
realmente-hipotéticamente,actualmente;posiblemente;teóricamente;imaginariamente;filosóficamente,Adverb,Esto abstrae la condición de verdad.,Abstraction,Consideraba _____ las opciones disponibles.
literalmente-figurativamente,directamente;simbólicamente;metafóricamente;alegóricamente,Adverb,Esto poetiza el método interpretativo.,Poetic Complexity,Interpretaba _____ las palabras del poema.
yo-nosotros,me;tú;nos,Pronoun,Esto expande la inclusividad de la referencia personal.,Quantity,_____ vamos al cine esta noche.
este-ese,aquí;ahí,Pronoun,Esto cambia la proximidad del punto demostrativo.,Distance,_____ es el libro que buscas.
ello-él/ella,uno;ellos,Pronoun,Esto aumenta la especificidad de la referencia de género.,Specificity,_____ sucedió ayer en la ciudad.
mío-nuestro,tuyo;suyo,Pronoun,Esto amplía la posesión de individual a grupo.,Quantity,El libro es _____ y no tuyo.
quién-a quién,cuál;que,Pronoun,Esto formaliza el caso de la referencia interrogativa.,Formality,_____ es el responsable aquí.
cualquiera-todos,alguien;nadie,Pronoun,Esto generaliza el alcance de personas indefinidas.,Scope,_____ puede participar en el juego.
algo-todo,cualquier cosa;nada,Pronoun,Esto amplía el rango de cosas indefinidas.,Scope,_____ es posible en este mundo.
yo mismo-nosotros mismos,tú mismo;ellos mismos,Pronoun,Esto pluraliza la acción personal reflexiva.,Quantity,_____ lo haré sin ayuda.
estos-esos,aquí;allá,Pronoun,Esto distancia los elementos demostrativos plurales.,Distance,_____ son los mejores amigos.
cada-todos,algunos;muchos,Pronoun,Esto totaliza la cantidad de referencia distributiva.,Quantity,_____ día aprendo algo nuevo.
en-dentro,adentro;hacia dentro,Preposition,Esto especifica el encierro de la ubicación.,Spatial Depth,El gato está _____ la caja.
sobre-encima,arriba de;por encima,Preposition,Esto eleva la posición de contacto de superficie.,Height,El libro está _____ la mesa.
en-hacia,junto;cerca,Preposition,Esto dirige la proximidad del objetivo.,Direction,Caminamos _____ el parque.
desde-más allá,lejos;fuera,Preposition,Esto extiende el origen de la distancia.,Distance,Vengo _____ la ciudad vecina.
con-junto a,al lado;entre,Preposition,Esto acompaña la presencia de compañía.,Association,Voy _____ mis amigos al cine.
para-en lugar de,a;acerca de,Preposition,Esto sustituye el propósito de la intención.,Purpose,Lo hago _____ ti.
bajo-debajo,abajo;por debajo,Preposition,Esto profundiza el nivel de posición inferior.,Depth,El tesoro está _____ la tierra.
arriba-por encima,encima;sobre,Preposition,Esto eleva la elevación de posición superior.,Height,El avión vuela _____ las nubes.
a través-vía,por;mediante,Preposition,Esto enruta el camino del pasaje.,Path,Viajamos _____ el túnel.
entre-en medio,entre varios;en medio de,Preposition,Esto centraliza la posición en el grupo.,Position,El secreto está _____ nosotros.
y-más,también;además,Conjunction,Esto añade la conexión de elementos.,Addition,Quiero pan _____ mantequilla.
pero-sin embargo,mas;aunque,Conjunction,Esto contrasta la oposición de ideas.,Contrast,Llueve _____ salgo a caminar.
o-ya sea,ni;ninguno,Conjunction,Esto alterna la elección de opciones.,Alternative,Elige café _____ té.
así-por lo tanto,entonces;de ahí,Conjunction,Esto concluye el resultado de la causa.,Conclusion,Estudié mucho _____ aprobé el examen.
si-a menos que,si acaso;aunque,Conjunction,Esto condiciona la posibilidad del evento.,Condition,Vendré _____ me invites.
mientras-mientras que,aunque;a pesar de que,Conjunction,Esto compara el contraste de situaciones.,Comparison,Lee _____ yo cocino.
porque-ya que,como;pues,Conjunction,Esto explica la razón de la acción.,Explanation,Vengo _____ es importante.
después-siguiendo,antes;durante,Conjunction,Esto secuencia el momento de los eventos.,Sequence,Llegué _____ de la reunión.
hasta-hasta que,antes;desde,Conjunction,Esto limita la duración del período.,Limitation,Espera _____ llegue.
aunque-a pesar de que,aun si;pese a,Conjunction,Esto concede el contraste de hechos.,Concession,Gano _____ no juegue bien.
